well_name,时间（顶）,时间（底）,深度（顶）,深度（底）
SHH4,1079.13,1431.44,1115.492882,1463.300683
CB809C,1314,1580,1459.6,1861.8
CD9,1208,1493,1330.5,1689.6
CBG111,1174,1561,1251.832,1779.037
CB38,1243,1599,1466.6,1963.2
CB40,1216,1666,1292.3,1988.8
CB815,1280,1716,1452.1,2070.9
CB32,1332,1766,1496.5,2077.2
CB817,1347,1762,1503.603,2043.272
CB301,1278,1707,1481.2,2043.8
CB803,1323,1672,1516,1983.4
CB30,1289,1589,1512.2,1877
CB324,1281,1696,1427.5,2041.2
CB328,1304,1720,1471.9,2039.3
CB34,1273,1691,1424.7,1966
CB330,1250,1671,1411.3,1953.4
SHH7,1194,1539,1310.89,1800.656
CB818,1306,1714,1474.636,2001.597
CB804,1305,1711,1469.7,2013.8
CB810,1244,1653,1385.1,1930.4
CBG4,1213,1623,1384.826,1919.146
cb50,1210,1570,1312.6,1741
CBX820,1316,1757,1530.839,2086.562
cb245,1176,1486,1254.6,1690.4
cb327,1369,1736,1533.3,2055.2
SHHG2,1128,1489,1256.981,1729.109
CB325,1281,1680,1432.5,2015.7
CB329,1241,1643,1414.7,1955.6
cb206,1156,1394,1256.3,1569.2
CB812,1224,1613,1337.6,1867.3
CB813,1239,1657,1331.39,1916.345
CB45,1029,1395,1089.96,1583.7
cb258,1143,1572,1252.5,1803.1
cb27,1146,1518,1262.7,1755.4
CB326,1354,1736,1513.9,2032.7
SHHG3,1155,1547,1276.534,1764.053
CB246,1075,1464,1149.7,1641.4
CB808,1216,1604,1354.6,1908
CB602,1040,1411,1131.9,1601.8
CB322,1393,1774,1583.8,2110.1
cb247,1111,1336,1240.1,1486.2
cb248,1107,1483,1230.1,1711.2
SHH2,1005,1375,1057.23,1516.185
CB253,1107,1469,1157.6,1625.9
CB84,1288,1674,1441.766,1951.088
CB8,1178,1567,1272.7,1788.1
cb271,1127,1494,1250,1707.6
CB272,1173,1428,1264.6,1616.4
CB806,1242,1616,1374.2,1868.1
SHH5,1209,1593,1326.4,1817.1
CB81,1297,1699,1448.3,2011
CB321,1330,1684,1530,2009
cb203,1052,1292,1110.9,1441.7
CBG10,1133,1516,1250.911,1769.025
SHH10,1298,1742,1528,2064.2
CBG110,1184,1576,1334.936,1832.246
CB211,1109,1353,1211.642,1519.849
cb259,1143,1275,1287.3,1464.2
CBG406,1178,1541,1295.8,1804.954
CB802,1268,1667,1397.9,1929.1
cb209,1020,1397,1099.6,1576.2
cb291,1113,1460,1219.5,1665.2
CB251,1141,1501,1243.9,1698.8
cb261,1214,1253,1344.9,1408.8
cb241,1146,1447,1259.5,1646.5
cb260,1164,1465,1274,1664.1
CBG11,1209,1608,1342.627,1854.068
SHHG1,1106,1486,1240.743,1747.844
CB292,1141,1373,1254.2,1546.9
cb205,1094,1302,1163.3,1460.6
CB807,1180,1558,1292.7,1779.8
cb255,1137,1391,1186.5,1508
cb43,1162,1567,1290.8,1808.5
CB805,1253,1638,1367.1,1880.4
CB603,1124,1508,1224.074,1735.899
cb111,1107,1467,1190.4,1672.7
SHH202,1079,1442,1171.667,1633.182
CB6,1210,1580,1363.9,1874.7
CB323,1360,1771,1536.2,2045.7
cb22,1116,1467,1213.6,1651.6
cb244,1145,1493,1272.7,1682
cb243,1186,1562,1318.2,1850.6
cb24,1155,1540,1274.4,1820.3
cb275,1143,1482,1255.2,1711.4
CB293,1099,1473,1170.7,1672.5
CB604,1111,1492,1236,1723.5
CBG403,1208,1572,1330.156,1820.824
SHH8,1258,1642,1398.185,1930.915
cb208,1045,1419,1122.1,1602.2
cb19,1149,1550,1266.2,1802.7
cb242,1146,1523,1286.5,1784.1
cb26,1120,1470,1193.1,1663.9
SHH6,1121,1476,1185.437,1642.539
cb249,1197,1249,1319.6,1389
cb256,1167,1235,1282.6,1375.9
CB257,1174,1460,1224.5,1559.1
cb25,1126,1482,1222,1686
SHH3,1116,1467,1206.956,1662.401
cb23,1143,1491,1337.7,1733.5
CB809,1192,1578,1338.2,1874.9
SHH801,1230,1610,1351.143,1852.152
CB42,1172,1579,1288,1808.4
cb273,1165,1360,1285.7,1526.6
cb252,1136,1499,1216.2,1716.7
CB341,1238.43,1629.3,1371.340456,1880.996837
