well_name,bottom_time,top_time,range_time
CB111,552,735,184
CB18,569,760,192
CB19,575,775,201
CB203,526,646,121
CB205,548,652,105
CB206,578,697,120
CB208,523,710,188
CB209,510,698,189
CB211,555,676,122
CB213,493,658,166
CB22,558,734,177
CB23,570,745,176
CB241,580,723,144
CB242,571,761,191
CB243,588,777,190
CB244,574,742,169
CB245,587,743,157
CB246,538,732,195
CB247,555,668,114
CB248,552,743,192
CB249,598,625,28
CB24,578,777,200
CB251,570,751,182
CB252,568,750,183
CB253,561,741,181
CB255,568,695,128
CB256,583,618,36
CB257,587,730,144
CB258,570,787,218
CB259,572,637,66
CB25,557,742,186
CB260,581,734,154
CB261,606,628,23
CB26,559,734,176
CB271,562,747,186
CB272,587,714,128
CB273,583,679,97
CB275,737,741,5
CB27,564,747,184
CB291,556,720,165
CB292,571,689,119
CB293,550,722,173
CB301,660,877,218
CB30,644,795,152
CB321,664,843,180
CB322,787,887,101
CB323,680,881,202
CB324,789,874,86
CB325,641,840,200
CB326,675,867,193
CB327,684,869,186
CB328,663,861,199
CB329,656,822,167
CB32,625,885,261
CB330,656,835,180
CB341,648,866,219
CB34,638,841,204
CB38,621,798,178
CB392,670,805,136
CB40,608,827,220
CB42,586,791,206
CB43,581,784,204
CB45,515,700,186
CB502,550,712,163
CB50,605,786,182
CB602,666,706,41
CB603,563,754,192
CB604,556,741,186
CB6,606,790,185
CB802,824,834,11
CB803,732,836,105
CB804,653,856,204
CB805,627,819,193
CB806,621,778,158
CB807,593,779,187
CB808,608,801,194
CB809,763,789,27
CB810,599,799,201
CB811,603,750,148
CB812,612,807,196
CB813,620,828,209
CB815,640,848,209
CB817,673,881,209
CB818,856,857,2
CB819,630,902,273
CB81,649,846,198
CB84,645,837,193
CB8,589,784,196
CBG10,566,758,193
CBG110,592,787,196
CBG111,587,768,182
CBG112,589,779,191
CBG11,604,803,200
CBG401,590,768,179
CBG403,604,783,180
CBG406,588,770,183
CBG4,605,812,208
CBGX405,619,803,185
CBX264,603,756,154
CBX820,659,875,217
CD11,535,696,162
CD12,572,787,216
CD9,601,746,146
SHH10,649,874,226
SHH201,513,673,161
SHH202,539,721,183
SHH2,496,688,193
SHH3,557,733,177
SHH4,586,791,206
SHH5,603,796,194
SHH6,560,738,179
SHH7,596,770,175
SHH801,615,805,191
SHH8,630,824,195
SHHG1,553,750,198
SHHG2,564,744,181
SHHG3,578,774,197
